Context,Questions,Decision,Answers_client,Answer_partner
Access Control & User Security,The system shall provide no mechanism whereby multiple user IDs explicitly shares a single stored password entry. The system shall provide no means to facilitate the sharing of passwords by multiple users.,No,Ultimus User Management is supporting this requested functionality!,See REQ_ACU2
Access Control & User Security,The system shall have secure environment for transmitting access changes across the Internet.,No,Ultimus User Management is supporting this requested functionality!,See REQ_ACU2
Access Control & User Security,Protection of private user information through secure facilities and sound processes.,No,Ultimus protects private user information.,See REQ_ACU2
Access Control & User Security,"Reports of user rights related to any external systems, sponsors of users and audit trails of access rights changes.",No,Ultimus User Management is supporting this requested functionality!,See REQ_ACU2
Access Control & User Security,The system shall perform the entire user authentication procedure even if the user ID that was entered was not valid. Error feedback shall contain no information regarding which part of the authentication information is incorrect,No,Ultimus User Management is supporting this requested functionality!,See REQ_ACU2
Access Control & User Security,The system shall provide a mechanism to support the initial entry or modification of authentication information at first login.,No,Ultimus DPA Portal is supporting this requested functionality!,DPA Portal does not provide this at the moment !
Access Control & User Security,System should support two factor authentications for any user profile related changes or creation.,No,Ultimus User Management is supporting this requested functionality!,Two factor authentication is not yet available for these features.
Access Control & User Security,The system shall provide no mechanism whereby multiple user IDs explicitly shares a single stored password entry. The system shall provide no means to facilitate the sharing of passwords by multiple users.,No,Ultimus User Management is supporting this requested functionality!,Might need an extension.
Access Control & User Security,The system shall allow a user to choose a password that is already associated with another user ID. The system shall provide no indication that a password is already associated with another user ID.,No,Ultimus User Management is supporting this requested functionality!,
Access Control & User Security,"System violation (e.g. failed login attempts) is separately logged, and violation is immediately notified to System Administrator / Supervisor (User defined).",No,Ultimus User Management is supporting this requested functionality!,See REQ_ACU2
Access Control & User Security,"The System provides role-based security across all content objects, content collections, pages, downloadable files, forms, metadata, and templates for                          §  Individual users                                                                                                            §  For a group of users                                                                                              §  For organizational groups like departments                                                                   §  Individual domains/ sites",No,This is part of the general security model.,See REQ_FD20
Access Control & User Security,"The System provides a mechanism for sensitive content to be deleted, to prevent un-authorized viewing/access after permanent deletion.",No,This is part of the general security model.,See REQ_FD20
Access Control & User Security,The System prevents expired content objects and content collections from being viewed after the specified date and time.,No,This is part of the general security model.,See REQ_FD20
Access Control & User Security,"The System makes ""checked-out"" content objects and content collections accessible from a secure location only.",No,This is part of the general security model.,See REQ_FD20
Access Control & User Security,"The System renders nominated content objects and content collections into a suitable, view-only and a ""non-printable"" format/ This prevents all other actions for specified types of classes of content objects and content collections.",No,This is part of the general security model.,See REQ_FD20
Access Control & User Security,"The System immediately revokes all access and view privileges across an organizational unit (group of groups), a specific group (of authors), or individual.",No,This is part of the general security model.,See REQ_FD20
Access Control & User Security,"The individual user profiles must contain the following parameters to support the described access control model                                                                               §  Unique user profile ID, location, position, role, group, group manager, department, department manager, phone number, email, National ID.                                                   §  Access control or privileges to access system functionality which will define access to workflow areas, data, documents, reports and system level functions                              §  A security profile of the user to be allotted to individuals or groups                              §  A group level profile which will define the default rights of the user                                 §  Privileges for searching of documents within the system through metadata restrictions                                                                                                                      §  Metadata editing and access privileges on document level         ",No,Ultimus User Management is supporting this requested functionality!,See REQ_ACU2
Access Control & User Security,The Admins should have the capability to override permissions to release or unlock content,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Access Control & User Security,Temporary assignment of roles should also be possible where user privileges should expire after a given time interval,No,Ultimus User Management is supporting this requested functionality!,See REQ_ACU2
Access Control & User Security,System should mark accounts as dormant after an agreed period of inactivity. It should also allow authorizations for reactivation of dormant/inoperative and closed accounts ,No,Ultimus User Management is supporting this requested functionality!,See REQ_ACU2
Access Control & User Security,The solution restricts access when the security category in a user's profile is less than that in the document object.,No,This is part of the general security model.,See REQ_FD20
Audit & Trace,"The system must maintain:                                                                                            §  Time-stamped records of every access change request, approval/denial, justification and change to a managed resource                                                                             §  Time-stamped record of every administrative and policy-driven change to access rights",No,Part of Ultimus Audit !,
Audit & Trace,"The system must provide reports on audit trails for users, systems, administrators and time periods, including workflow approvals, rejections, request statistics, policy compliance and Audit reports, User account reports, Access reports and Service reports, and any customized reports based on specific need.",No,Part of Ultimus Audit !,Can be composed / or See REQ_REP2
Audit & Trace,"The system must provide log and trace of all process or workflow related activities, including activities or events taking place in the document management module. It should provide information on each process step in terms of                                                          §  What activity is ongoing                                                                                              §  Who is carrying out the activity including any viewing that is being performed?                §  Specifically, for documents the data required for reporting will be recorded                    §  Reconstruct the access and modification history of a document                                          §  Provide information on the all the authors/ users who worked on the document including documents that are generated as part of the workflow                                               §  Provide information on which users have viewed the document                                       §  Provide information on which users have linked the document to other documents           §  Provide information on document deletion                                                                     §  Provide information on destruction of documents                                                          §  Provide information on check-in and check-outs performed on the document                       §  Provide information on which users printed the document                                                                 §  Provide complete trace of all workflow actions and data related amendments with the forms.                                                                                                                           §  Register all these events with date time and user workstation details ",No,Part of Ultimus Audit !,"Log and Trace might not be available to this extend, but can be extended !"
Audit & Trace,Audit trail records shall be retained in a tamper proof environment in accordance with the policy for a reasonable amount of time to allow for accountability and evidential purposes. Backup copies shall also be maintained to protect against any accidental or deliberate erasure of data.,No,Part of Ultimus Audit !,"This might not be available to this extend, but can be extended !"
Audit & Trace,"The system must be capable of generating log trails through Reporting module, which contain details about any read / write access to sensitive data. Details must relate activity to an identifiable person. They must be configurable, so that filters and switches can be used to lower performance overheads and focus on areas of concern. It is important that the audit trail that is generated contain enough information to support after-the-fact investigation of loss or impropriety.",No,The Ultimus Reporting Module  is supporting this requested functionality!,"See REQ_REP2

"
Audit & Trace,"Where the security audit trail becomes unavailable for any reason, the system shall continue to operate but will trigger an alarm. Action shall be taken as soon as possible to rectify the situation",No,Part of Ultimus Audit !,System does not trigger an alarm yet !
Audit & Trace,"System and application use and attempted use will be monitored to ensure that the integrity and security of the client and customer data is maintained. The documented process shall include details of:                                                                                    §  who will monitor what event and how,                                                                       §  the frequency of monitoring,                                                                               §  what to do when suspicious activity is noted,                                                              §  when to escalate and the escalation path. ",No,Part of Ultimus Audit !,See REQ_AUD3
Audit & Trace,"All events logged in the audit data shall be considered when deciding what to audit and the appropriate actions to take. The log must record the user or process responsible for the event, terminal ID where available, and the date and time of the event. The following shall be monitored:                                                                                       §  Enabling and disabling of the audit process                                                                         §  Any changes to the type of events logged by the audit trail                                            §  Any changes to the audit trail itself                                                                               §  Startup parameters and any changes to them                                                                 §  System or application start-up and shut down                                                               §  Use of selected transactions                                                                                       §  Changes to any of the database or records",No,Part of Ultimus Audit !,See REQ_AUD4
Audit & Trace,System should be able to generate audit trail for Super Users / Administrators with appropriate authorizations. ,No,Part of Ultimus Audit !,See REQ_AUD3
Compatibility with Portable Devices,"The system user interface should be compatible and well-adjusted to different web browsers like Windows IE 11+, Edge 12+, Chrome 30+ and Safari 7+",No,,The mentioned browsers are OLD !
Compatibility with Portable Devices,The user interface should also be well adapted to IoS and Android displays and overall the system should be accessible ideally through mobile applications in a secure environment.,No,Ultimus DPA Portal / iOS and Android mobile applications are available.,The Ultimus Mobile Apps do not provide the same features and functions as the web-based DPA Portal.
Compatibility with Portable Devices,Desirable to also be accessible through Surface Pro 2 or higher running with Win 8.1 or higher,No,Ultimus DPA Portal works on Surface Pro 2 or higher running with Win 8.1 or higher,
System Integration,Integration with an emailing server using SMTP. The system should be extracting mailing credentials of the user from the user profile and sending emails out for periodic reminders and alerts. The email triggers should be configurable within the system that can be switched on or off as required.,No,Ultimus integrates with an emailing server using SMTP for sending email reminders and alerts. The email triggers are configurable and can be switched on or off as required.,This concept needs to be clarified ! For now we are not sending E-Mails in charge of a user ?! 
System Integration,"Integration with a video conferencing software should be done in a way that either the Video conferencing software should run within the main system container or an external software should provide integration to,                                                               §  Launch the software from within the system                                                              §  Store recording of conference within the system in respective process workflow               §  Attach it as part of the final document in the DMS module or workflow forms.",No,Ultimus provides integration with a Video Conferencing tool.,"At the moment we dont have an integration with a Video Conferencing tool, store recording, etc."
System Integration,An internal chat software which is either internal to the system or external. The chatting utility should serve as a instant messaging utility between users to expedite or send brief explanations to each other.  ,No,An internal Chat Client is part of the DPA Portal.,We dont have an internal Chat Client !
System Integration,LDAP server for user profiles and status of users along with history and other credentials. It should be a central authentication and authorization of user privileges within the organization and departments. ,No,Ultimus provides LDAP and AD integration and uses them for central authentication and authorization.,
System Integration,"The DMS module should ideally be integrated in the overall solution or if required integrated in a way that overall the solution provides ‘one-system feel’. It is essential for all components for the system like WFE, FD, DMS to follow the same security model which is residing centrally. ",No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
System Integration,Integration with other KPK Gov’s existing systems. These could be integration requirements to push/ pull information from other government department systems based on standard REST based interfaces for exchange of information and documents. ,No,Ultimus supports integration with any 3rd system using services / web services incl. audit.,
System Integration,Overall the system can specify interfaces for importing and exporting data into the system when required. The data could be meta data or contents within the documents. ,No,Ultimus supports integration with any 3rd system using services / web services incl. audit.,
System Integration,"Primarily, the document management system will be the strategic choice for storing all KP government documents and will serve as a Central Digital repository of all documents. Overall it is expected that the system will provide service interfaces to all other systems in a service based model for efficient retrieval and storage of documents.  A detail of functions that must be provided as a service to other systems in REQ_DMS35",No,Ultimus supports integration with any 3rd system using services / web services incl. audit.,
System Integration,System Integration services must also register and record all of audit related requirements and keep a complete track of data access and changes to document including credentials of systems and users. ,No,Ultimus supports integration with any 3rd system using services / web services incl. audit.,
System Integration,The system should be light on the network; the protocol should be eligible to handle bulk requests efficiently and effectively.,No,,This is not a good measurable requirement !
User Interface,"The user interface of the application should be kept simple, clear, consistent and should avoid clutter and unnecessary elements. The language on the GUI controls and labels should be clear.",No,This is part of our project guidelines.,
User Interface,"Items should be places on the page based on importance, colors should be used strategically to bring users attention to primary elements within the page. ",No,Can be configured as requested,
User Interface,"Different size fonts, and arrangement of the text to help increase scalability, legibility and readability. ",No,Can be configured as requested,
User Interface,Users should always be able to quickly backtrack whatever they are doing and have a feeling of control over the application interface. ,No,Can be configured as requested,
,Provide visual hints/ cues/ representations to the user over which step they are on during a certain process. ,,,
User Interface,The users must also be able to use controls to quickly distinguish between different sections of a document and detect changes made by distinct users through highlighting of it. ,No,Can be configured as requested,
User Interface,"Users should also have semblance of the results of an action, the tool tips should drive them and guide them through the process. The button labels should be self-explanatory or augmented by tool tips. ",No,Can be configured as requested,
User Interface,"Progress indicators, workflow steps, stages and completion status should be visible in a status tracker to the user all the time. It should depict the complete lifecycle, completed and remaining steps.",No,Can be configured as requested,
User Interface,Error messages must speak to the user in an identifiable language and explain exactly why system is unable to proceed and what is it that needs rectification. When any input violates some business rules within the system then errors and exception messages must be very clear.,No,Can be configured as requested,
User Interface,Avoid the principle of reducing cognitive load and focus more on using fewer clicks or tasks to achieve a goal. Most of the information should be available on the three clicks rule,No,Can be configured as requested,
User Interface,Label names should not be complex and closer to familiar terminologies used in other computer applications.,No,Can be configured as requested,
Application & Architecture Security,For Authentication purposes a single sign-on model should be used that should cover all the system modules that need to work together to provide the overall solution. The system must support different authentication Integrations using webservices                      §  Integrate with group/ rights repository in real-time                                                    §  Integrate with Microsoft Active Directory,No,SSO with different authentication integrations incl. Microsoft AD is supported.,
Application & Architecture Security,"If the system utilizes the web service technology with different XML-based security schemes then it should utilize the WS-Security mechanisms,                                              §  Username/ Password                                                                                               §  X.509 approach                                                                                                              §  Kerberos                                                                                                                 §  Digital Signature                                                                                                        §  Encryption",No,Ultimus utilizes the web service technology utilize the WS-Security mechanisms.,
Application & Architecture Security,"In any form of external communication outside the network the system shall support     §  Content security,                                                                                                        §  Message level security                                                                                                 §  Secure message delivery,                                                                                             §  Metadata security policy,                                                                                        §  Secure public key infrastructure                                                                                   This will also apply to Mobile Apps which will be used to access the system.   ",No,Ultimus supports the various security mechanisms.,
Application & Architecture Security,Communications over the intranet should employ secure mechanisms which include SSL or PKI ,No,Secure SSL communication is supported.,
Application & Architecture Security,Multilayered security architecture for operation in a “demilitarized zone” ((DMZ) and for management of users and systems in untrusted environments.,No,DMZ architecture is supported.,
Application & Architecture Security,"Integration of LDAP directory services as identity stores, access control system authorization stores and internal user account and policy stores.",No,Ultimus provides LDAP and AD integration and uses them for central authentication and authorization.,
Application & Architecture Security,Inclusion of a persistent data store or repository for audit trails and system recovery.,No,A repository for system recovery is provided.,A persistent data store or repository for system recovery does not (yet) exists !
Application & Architecture Security,"Ability to import and export security and Admin profile related configurations to enable migrations between Development, Staging and Production environment without delays.",No,This is part of Ultimus DevOps.,This is WIP !
Application & Architecture Security,"Ability to incorporate Web access control with single sign-on environment and to distribute provisioning components securely over WAN and Internet environments, including crossing firewalls.",No,Web access with SSO is supported.,To be checked whether it is fully working as they requested - but it should be possible !
Application & Architecture Security,Ability to delegate each administrative task with fine-grained control at Organizational Unit Level so that the team or Dept Admins can completely perform the Administrative tasks for their Organization Unit.,No,"Ultimus provides sophisticated routing, assignment, and delegation options supporting the described scenario.",Can be composed …
Application & Architecture Security,System should be able to restrict user access based on IP,No,Can be configured as requested,We dont have that yet ootb !
Application & Architecture Security,System has the ability of automatic session expiry at terminals,No,Can be configured as requested,We dont have that yet ootb !
Application & Architecture Security,System has ability to configure the security policy as per Organization's information security policy,No,Can be configured as requested,We dont have that yet ootb !
Application & Architecture Security,Application and Database sever security should be the responsibility of vendor and hardening should be performed based on available hardening guidelines. It should be approved by the client prior to go live. ,No,Can be configured as requested,Can be implemented …
Application & Architecture Security,"Opensource libraries, if used in the code, must be tested for any backdoor, malicious code, file uploads etc. These should be mentioned clearly and certified by the vendor. ",No,Ultimus will ensure this.,To be done.
Application & Architecture Security,"If addon is used for any functionality, it should comply security requirements and capable of future upgrades where required.",No,Ultimus will ensure this.,To be done.
Application & Architecture Security,Security testing scenarios should be created and approved by the client based on business requirement and testing results should be approved prior to go live.,No,Ultimus will ensure this.,To be done.
Application & Architecture Security,Mobile application should support gateway connection to enable access to internal users.,No,Ultimus will ensure this.,To be done.
Application & Architecture Security,"Both portal and mobile application should log user actions like, user id, time of login, terminal from which user logged in, actions performed etc. to establish accountability",No,Part of Ultimus Audit !,"This might not be available to this extend, but can be extended !"
Data Security,Sensitive government employee related data must be protected in accordance with guidelines that will be agreed with the client. At the minimum the system should store data in encrypted format based on agreed security levels of data.,No,Ultimus can store sensitive data in encrypted format.,This is part of the implementation.
Data Security,Ensure that the access policies are consistently enforced against all attempts made by users to submit ad-hoc data query requests or to generate standard reports. This also includes data queries run on the DB server through any console. ,No,Ultimus will ensure this.,To be done.
Data Security,"If required, support the use of standard Public Key Infrastructure technology to control access to sensitive data over the Internet",No,Ultimus will ensure this.,To be done.
Data Security,Mobile application code should be obfuscated using commercial tool in such a way that it cannot be reversed to view the code libraries or logic. ,No,Ultimus will ensure this.,To be done.
Data Security,"If any data is to be stored on mobile, it should be encrypted and should not be accessible to user. The data should be regularly purged",No,Ultimus will ensure this.,To be done.
Data Security,Data should be stored in different data stores and access level and security should be configured for the individual data stores based on agreed or formulated policy. The policy could be as elaborate as different encryption levels for datastores. ,No,Ultimus will ensure this.,To be done.
Network & Security,The system should have in-built mechanisms e.g. checksums to verify the integrity of data passed over a communication channel.,No,"Ultimus supports secure message communication, the described mechanisms are in place.",
,"Where an encryption process used for data transfer fails and cannot be automatically corrected, then the transfer should not be completed",,,
Network & Security,"All data transfers must be documented and authorized by the owner of the donor system. They must only be authorized where the receiving system has the capability to protect the data, i.e. it has an acceptable security rating.",No,Ultimus will ensure this.,We dont have that yet to this extend !
Network & Security,"Data which is to be passed between systems shall be labeled to indicate the type and sensitivity of that data. The security policy for a system will state what data may be sent to, or received from, another system and will state the translation, if any, between the labeling of the two systems.",No,Ultimus will ensure this.,We dont have that yet to this extend !
Network & Security,Should offer facility for load balancing w.r.t. application server and database server. Data replication functionality across databases.,No,Ultimus supports load balancing and data replication.,Can be configured
Network & Security,"Any data transfers should be auditable and traceable through reports and in data transfer logs.  If required, any data exchange between parties along with message request and response data should be stored for record and audit purposes. ",No,Ultimus will ensure this.,We dont have that yet to this extend !
Mobile Application Security,The source code of the application should be encrypted using the latest encryption algorithms. Encryption will ensure that the code is not accessible by anyone else.,No,Ultimus will ensure this.,We dont have that yet to this extend !
Mobile Application Security,The data stored on the mobile device should be encrypted using the latest encryption algorithm and it should not be accessible and readable by anyone else.,No,Ultimus will ensure this.,We dont have that yet to this extend !
Mobile Application Security,Sensitive information that is sent from the client-end to the backend should be protected using the latest encryption algorithm to ensure there are no data leaks and data theft.,No,Ultimus will ensure this.,We dont have that yet to this extend !
Mobile Application Security,Unsynchronized data residing at the client-end should be deleted right after the application is online and data is synced with the backend.,No,Ultimus will ensure this.,We dont have that yet to this extend !
Mobile Application Security,The mobile app should two-factor authentication on a new device on the first login to prevent unauthorized access.,No,Ultimus will ensure this.,We dont have that yet to this extend !
Mobile Application Security,The offline data that is not synced for more than 15 days should be automatically deleted from the device to protect data against device theft.,No,Ultimus will ensure this.,We dont have that yet to this extend !
DR & Scalability,Should offer facility for load balancing with respect to the application server and database server. ,No,Ultimus supports load balancing and data replication.,Can be configured
DR & Scalability,The system should support recovery during business hours with minimum downtime during disaster recovery. The switch over to DR site should be immediate and on agreed SLAs with the client. Any scheduled downtimes related to system maintenance should be agreed in advance and any periodic downtimes required due to technical limitations must be communicated to the client by the Vendor before-hand.,No,Ultimus will ensure this.,Can be implemented …
DR & Scalability,The overall solution must support automatic switchover to alternate/standby/failover server.,No,Ultimus will ensure this.,Can be implemented …
DR & Scalability,The application and its components should be able to work on multiple servers with load balancing and redundancy capabilities,No,Ultimus will ensure this.,Can be implemented …
DR & Scalability,The selected solution shall be scalable to meet the required system performance for the growth in the amount of processed data and the number of users. The data and load projections should be projected for the next 3 years after calculating an as-is picture of anticipated load on the server and agreed with the users. ,No,Ultimus is scalable to meet the required system performance Ultimus will ensure this.,System architecture needs to be defined as part of the project.
DR & Scalability,The vendor will agree on an IT Disaster recovery plan and have it tested after the go-live of the system. The IT DR plan should be aligned with any Business continuity plans the client may already possess. ,No,Ultimus will ensure this.,Can be implemented …
DR & Scalability,The system should be available 24/7 generally however the system downtime for any upgrade maintenance related issues could always be agreed in advance and carried out outside of the working hours. Any scheduled daily downtime for backups or periods during which system may show limited availability should be during the night outside of working hours and should not exceed more than 2 hours.,No,Ultimus will ensure this.,Can be implemented …
DR & Scalability,The system must be configured for High Availability and there should be no unplanned downtimes during operational hours. The downtime will impact services of multiple government departments. Overall the system should be deployed in a clustered environment where one server going down may impact the performance but not entire availability of it. In case of complete cluster breakdown proper SLAs should be agreed with the client on switching to DR site. ,No,Ultimus will ensure this.,Can be implemented …
Performance,Process operations response times (end to end) are required of no less than:                             95% of online update transactions within 1 seconds. 5% within 2 seconds.                             95% of online simple transaction within 1 seconds. 5% within 2 seconds.                           95% of online complex transaction within 3 seconds. 5% within 5 seconds.,No,To be checked …,"We need to ensure that the whole architecture, the network, and the implemented solution is done to fulfil this !"
Performance,"Changes to the database within 0.5 seconds (for a case of single user) to 3 seconds (for peak load condition, i.e. maximum concurrent users)",No,To be checked …,"We need to ensure that the whole architecture, the network, and the implemented solution is done to fulfil this !"
Performance,"Simple transaction within 0.5 seconds (for a case of single user) to 2 seconds for peak load condition, i.e. maximum concurrent users)",No,To be checked …,"We need to ensure that the whole architecture, the network, and the implemented solution is done to fulfil this !"
Performance,"Multiple/Complex query within 2 seconds (for a case of single user) to 3 seconds (for peak load condition, i.e. maximum concurrent users)",No,To be checked …,"We need to ensure that the whole architecture, the network, and the implemented solution is done to fulfil this !"
Performance,Operational guarantees should be given by the vendor and written in the service / support contract / agreement with client. These include guarantee uptime standards and minimum downtime expected.,No,To be checked …,"We need to ensure that the whole architecture, the network, and the implemented solution is done to fulfil this !"
Performance,System response times are dependent upon the hardware and network infrastructure deployed.  The vendor is to quote for appropriate hardware capacity requirements based on the information provided in the bidding documents with respect to the KPIT Data center configuration.,No,To be checked …,"We need to ensure that the whole architecture, the network, and the implemented solution is done to fulfil this !"
Performance,The vendor has to offer specific response times as well as specific availability and reliability from its business process automation platform. The vendor will work with Utility and supply hardware to achieve the required operational performance. ,No,To be checked …,"We need to ensure that the whole architecture, the network, and the implemented solution is done to fulfil this !"
Performance,For 90% screens the render time should be less than 1 seconds. Screen operation response is defined as the time it takes for all characters to appear on the end user screen from a screen request and for user to get control over the screen.,No,To be checked …,"We need to ensure that the whole architecture, the network, and the implemented solution is done to fulfil this !"
Portability,The software solution server platform must support multiple OS platforms like Windows & Linux Servers,No,The Ultimus software solution server platform supports multiple OS platforms,"The Ultimus software solution server platform supports multiple Microsoft Windows Server OS platforms, e.g. Windows Server 2016 and Windows Server 2019"
Portability,"If the software uses components or external libraries, then they must also support the same OS compatibility requirements as specified for the primary document management system.",No,The same OS compatibility requirements are support for all components and external libraries.,
Portability,The document management system should be deployable on a cloud platform along with on-prem deployment option.,No,All provided Ultimus modules are deployable on a cloud platform along with on-prem deployment option.,
Portability,"The client end of the software must operate on latest Chrome, Edge and Safari browsers. The mobile application or the web front end must also be compatible with both, Android and IOS platforms.",No,"Ultimus DPA Portal operates on latest Chrome, Edge and Safari browsers. Both, the mobile application and the DPA Portal are compatible with both, Android and IOS platforms.",The Ultimus Mobile Apps do not provide the same features and functions as the web-based DPA Portal.
,Are ADMIN IDs escrowed.,,,
,Is user ID disabled by application after non-usage of user ID as per IS Policy (45 days).,Yes,"Ultimus allows to add active directory user directly. The policy can be applied at AD level. Ultimus can provide information for the inactive users in Ultimus.
Ultimus has plan to include this feature for all users in next release.",
,Is user password change enforced as per IS policy (after 45 days).,YES,"Ultimus use user ids from Active Diretory, hence the policy is required to be applied at Active directory level.",
,Newly created ID does not lockout after 07 days’ non-usage (1st login) of User ID as per IS policy ,YES,Ultimus allows to add active directory user directly. The policy can be applied at AD level. Ultimus can provide information for the inactive users in Ultimus.,
,Is user ID disabled by application after 3 invalid login attempts.,YES,"Ultimus use user ids from Active Diretory & securities, hence the policy applied at AD level can work.",
,One Time Password: Does application prompt for change of password after 1st login.,YES,"Ultimus use user ids from Active Diretory & securities, hence the policy applied at AD level can work.",
,Is user password complexity enforced/applied as per IS policy.,YES,"Ultimus use user ids from Active Diretory & securities, hence the policy applied at AD level can work.",
,Is maker/checker available for user ID creation and amendments.,Yes,"Ultimus use user ids from Active Diretory & securities, hence the policy applied at AD level can work.",
,Is separate role for user access management available & restricted to access management only.,Yes,"Ultimus use user ids from Active Diretory & securities, hence the policy applied at AD level can work.",
,Can IAM extract user entitlement review report from application or from OBIEE for user access monitoring.,YES,"Ultimus use user ids from Active Diretory & securities, hence the policy applied at AD level can work.",
,Is audit log and user modification logs available.,Yes,"Ultimus use user ids from Active Diretory & securities, hence the policy applied at AD level can work.",
,Is Access Rights Matrix available (please share).,YES,"Ultimus use user ids from Active Diretory & securities, hence the policy applied at AD level can work.",
,Is integration with SSO available.,YES,"Ultimus use user ids from Active Diretory & securities, hence the policy applied at AD level can work.",
,Can IAM user (with Role Change rights) assign roles to himself.,YES,"Ultimus use user ids from Active Diretory & securities, hence the policy applied at AD level can work.",
,Is user ID disable option available in user ID amendment screen.,YES,"Ultimus use user ids from Active Diretory & securities, hence the policy applied at AD level can work.",
,Is password reset option available in application for end user.,YES,"Ultimus use user ids from Active Diretory & securities, hence the policy applied at AD level can work.",
,Is Remarks/Description field available on user id creation and amendment screens for user request reference.,YES,"Ultimus use user ids from Active Diretory & securities, hence the policy applied at AD level can work.",
,Is user guide available for user access management (please share).,YES,"Ultimus use user ids from Active Diretory & securities, hence the policy applied at AD level can work.",
BPM Platform-Process Modelling,Graphical process mapping environment for non-technical business users,Yes,Ultimus Process Designer allows grahical interface to design & map process.,
BPM Platform-Process Modelling,Define and document business needs & requirements for processes,Yes,Ultimus Process Designer allows to define documents & other business requirements.,
BPM Platform-Process Modelling,Generate high level process documentation to fit business needs,Yes,Ultimus Process Designer allows to generate high level process documentation.,
BPM Platform-Managing the Development of Automated Processes,Manage processes in secure database-based repositories (MS SQL Server databases),Yes,Ultimus manages the processes in secure database based repository (MS SQL Server is supported),
BPM Platform-Managing the Development of Automated Processes,"Multiple, parallel secure process repositories for different usage- or security-scenarios.",Yes,Ultimus Process Designer allows to connect to multiple process repositories in parallel for multiple users.,
BPM Platform-Managing the Development of Automated Processes,Drill-down view of objects in process repositories,Yes,Ultimus Process Designer allows to drill down view of the objects in process respositories,
BPM Platform-Managing the Development of Automated Processes,Organize objects using folders for more clarity,Yes,Ultimus Process Designer allows to organize the processes in folders and objects under relevant step.,
BPM Platform-Managing the Development of Automated Processes,Allow team members to work off-line,Yes,Ultimus Process Designer allows to work offline.,
BPM Platform-Managing the Development of Automated Processes,Check-in/check-out of any process object,Yes,Ultimus Process Designer allows to check in / check out of any process object.,
BPM Platform-Managing the Development of Automated Processes,Versioning of any process object,Yes,Ultimus Process Designer allows versioning of process changes.,
BPM Platform-Managing the Development of Automated Processes,Rollback object versions,Yes,Ultimus Process Designer allows rollback of versions.,
BPM Platform-Managing the Development of Automated Processes,Create copy of old process versions,Yes,Ultimus Process Designer allows copy of process.,
BPM Platform-Managing the Development of Automated Processes,Create notes for any process object,Yes,Ultimus Process Designer allows to take notes for any process object.,
BPM Platform-Managing the Development of Automated Processes,Import/Export process definitions in XML format,Yes,Ultimus Process Designer allows to import/export of process definition in XML format.,
BPM Platform-Developing Automated Processes – High Level Capabilities,Use modeling documentation and process flows based on defined and documented business needs & requirements to simplify process development,Yes,Ultimus Process Designer allows to use Modelling documentation to start the automation of process.,
BPM Platform-Developing Automated Processes – High Level Capabilities,Use the same graphical tools for process automation that is used for process modeling,Yes,Ultimus Process Designer allows both modelling & automation of process.,
BPM Platform-Developing Automated Processes – High Level Capabilities,Create custom process and step specific help for users in different languages,Yes,Ultimus Process Designer allows to link custom multilingual help with process steps.,
BPM Platform-Developing Automated Processes – High Level Capabilities,Simplified management and manipulation of process variables,Yes,Ultimus Process designer & Ultimus CPS allows simplified management of process variables.,
